species,growth_form,diameter_class,wood_bark,label,lab_unique,new_label,T_C,T_N,Tannins,NDF_per,ADF_per,ADL_per,Ca_g_kg,K_g_kg,Mg_g_kg,Mn_mg_kg,P_g_kg,T_sugar_per,T_Si_g_kg
Cunninghamia lanceolata,Tree,2.5 cm,wood,T05SR1,C2023-5423,TW05SR1,502,2.67,0.34,91.66,80.33,35.98,4.56,1.61,0.31,343.3,0.25,0.35,0.12
Cunninghamia lanceolata,Tree,2.5 cm,wood,T05SR2,C2023-5424,TW05SR2,503,2.75,0.35,91.66,80.25,35.53,4.79,1.68,0.33,360.3,0.27,0.35,0.11
Cunninghamia lanceolata,Tree,5.0 cm,wood,T05BR1,C2023-5425,TW05BR1,507,3,0.59,90.04,77.35,35.57,5.66,2.08,0.36,450.1,0.32,0.54,0.1
Cunninghamia lanceolata,Tree,5.0 cm,wood,T05BR2,C2023-5426,TW05BR2,507,2.96,0.67,89.67,78.39,35.65,5.39,2.09,0.36,451.5,0.32,0.55,0.37
Piper umbellatum,Tree,2.5 cm,wood,T10SR1,C2023-5427,TW10SR1,477,5.55,0.13,87.16,70.96,20.29,2.16,9.78,0.69,8.7,0.68,2.16,1.72
Piper umbellatum,Tree,2.5 cm,wood,T10SR2,C2023-5428,TW10SR2,475,5.87,0.28,85.15,69.62,18.55,2.8,10.65,0.68,23.3,0.83,2.1,1.97
Piper umbellatum,Tree,5.0 cm,wood,T10BR1,C2023-5429,TW10BR1,477,5.59,0.13,87.09,70.09,20.88,1.68,9.81,0.68,8.5,0.67,2.19,1.39
Piper umbellatum,Tree,5.0 cm,wood,T10BR2,C2023-5430,TW10BR2,476,5.66,0.29,86.25,69.95,18.14,2.56,10.66,0.67,21.8,0.83,2.07,2.18
Mesua ferrea,Tree,2.5 cm,wood,T04SR1,C2023-5431,TW04SR1,477,2.35,0.36,91.75,74.1,15.83,3.44,2.11,0.81,197.2,0.67,1.61,0.46
Mesua ferrea,Tree,2.5 cm,wood,T04SR2,C2023-5432,TW04SR2,478,2.47,0.38,92.34,74.77,16.1,3.34,2.06,0.8,201.1,0.67,1.54,0.1
Mesua ferrea,Tree,5.0 cm,wood,T04BR1,C2023-5433,TW04BR1,476,2.26,0.34,92.06,74.66,18.25,3.13,2.15,0.86,159.8,0.65,1.46,0.46
Mesua ferrea,Tree,5.0 cm,wood,T04BR2,C2023-5434,TW04BR2,476,2.38,0.3,92.18,74.77,16.61,3.27,2.37,0.86,158.7,0.64,1.45,0.07
Eucalyptus citriodora,Tree,2.5 cm,wood,T03SR1,C2023-5435,TW03SR1,476,4.86,1.23,90.75,73.1,17.45,5.32,2.35,0.72,288.1,0.48,0.87,0.11
Eucalyptus citriodora,Tree,2.5 cm,wood,T03SR2,C2023-5436,TW03SR2,471,5.28,1.1,90.27,72.98,17.47,8.69,2.8,0.84,349.1,0.65,0.87,0.46
Eucalyptus citriodora,Tree,5.0 cm,wood,T03BR1,C2023-5437,TW03BR1,477,4.89,0.93,91.51,71.26,16.29,4.83,2.37,0.7,280.2,0.48,0.87,0.1
