species_label,species,family,Tag,growth_form,mesh_size,diameter_class,diameter_1 size_cm,diameter_2 size_cm,diameter_3 size_cm,Bark thickness_1 _mm,Bark thickness_2 _mm,Bark thickness_3 _mm,Bark thickness_4_mm,length_cm,Wet_weight_of_wood_block_g,Wet_weight_of_small_pieces_of_wood_g,Volume_of_wet_small_pieces/g,Dry_weight_of_small_wood_blocks_g,Dry_volume_of_small_wood_blocks/g
F58,Cunninghamia lanceolata,,T0561,Trees,Invertebrates access,5.0 cm,3.2,3.2,3.1,0.97,0.48,0.99,0.66,19.5,150.78,14.18,15.84,8.14,13.79
F58,Cunninghamia lanceolata,,T0573,Trees,Invertebrates access,5.0 cm,3.3,3.3,3.5,1.09,1.24,0.89,1.08,20,161.74,17.4,20.15,10.09,17.52
F58,Cunninghamia lanceolata,,T0577,Trees,Invertebrates access,5.0 cm,3.6,3.8,3.7,2.64,1.71,2.37,2.19,20.5,205.59,22.8,25.52,12.06,21.43
F58,Cunninghamia lanceolata,,T0565,Trees,Invertebrates access,5.0 cm,3.6,3.7,3.8,1.8,1.86,1.36,1.15,20.5,207.58,21.16,23.9,12.04,20.9
F58,Cunninghamia lanceolata,,T0571,Trees,Invertebrates access,5.0 cm,2.9,3.1,3,1.31,6.04,0.78,0.84,19.5,135.11,13.36,15.82,8.49,14.21
F58,Cunninghamia lanceolata,,T0567,Trees,Invertebrates access,5.0 cm,2.7,2.9,3.1,1.38,1.14,1.31,1.12,20.5,127.85,16.38,19.38,9.31,16.83
F58,Cunninghamia lanceolata,,T0581,Trees,Invertebrates access,5.0 cm,3.3,3.3,3.3,1.34,1.56,1.37,1.15,19.5,144.21,15.79,19.19,9.91,16.98
F58,Cunninghamia lanceolata,,T0555,Trees,Invertebrates access,5.0 cm,2.9,2.9,3,0.94,0.53,1.21,1.29,20.5,124.88,13.1,16.08,7.75,14.32
F58,Cunninghamia lanceolata,,T0553,Trees,Invertebrates access,5.0 cm,2.9,3,3,0.9,1.58,1.39,1.05,19.5,116.66,13.88,17.26,8.75,15.52
F58,Cunninghamia lanceolata,,T0559,Trees,Invertebrates access,5.0 cm,2.9,2.9,2.5,1.15,1.93,1.26,1.11,20,116.46,12.55,15.19,7.45,13.57
F58,Cunninghamia lanceolata,,T0551,Trees,Invertebrates access,5.0 cm,2.5,2.5,2.6,0.81,1.03,0.92,0.01,20.5,97.5,10.13,11.38,5.61,9.97
F58,Cunninghamia lanceolata,,T0579,Trees,Invertebrates access,5.0 cm,4.3,4.3,4,1.29,1.74,2.01,1.69,20.5,261.74,27.02,30.69,15.39,25.96
F58,Cunninghamia lanceolata,,T0569,Trees,Invertebrates access,5.0 cm,3.3,3.4,3.2,0.85,1.11,0.87,0.95,20,168.11,27.95,29.28,16.95,25.87
F58,Cunninghamia lanceolata,,T0563,Trees,Invertebrates access,5.0 cm,3.3,3.2,3,1.34,1.23,1.38,1.35,19.5,134.53,13.48,17.11,8.47,15.03
F58,Cunninghamia lanceolata,,T0575,Trees,Invertebrates access,5.0 cm,3.5,3.4,3,1.47,0.94,1.93,1.18,19.5,189.77,20.22,22.9,11.39,19.93
F58,Cunninghamia lanceolata,,T0557,Trees,Invertebrates access,5.0 cm,3,3.1,3.4,2.08,1.31,1.67,1.09,19.5,142.87,13.67,15.7,7.53,13.79
F58,Cunninghamia lanceolata,,T0527,Trees,Invertebrates access,2.5 cm,2.6,2.7,2.8,1.11,0.87,1.15,0.89,20,114.06,13.27,15.7,7.83,12.94
F58,Cunninghamia lanceolata,,T0523,Trees,Invertebrates access,2.5 cm,2.7,2.7,2.5,1.23,0.95,1.08,0.95,20,104.39,11.01,12.85,6.4,12.02
F58,Cunninghamia lanceolata,,T0517,Trees,Invertebrates access,2.5 cm,2.9,2.6,2.6,1.06,1.36,1.29,1.22,19.5,109.53,12.53,14.27,7.08,12.56
