date,Tag,log_fresh_weight,wood_weight,subsection,disk_fresh_weight,disk_fresh_volume,disk_dry_weight,disk_dry_volume,Bark_fresh_mass_at_harvest,Bark_fresh_volume_at_harvest,Dry_bark_mass_at_harvest,Dry_bark_volume_at_harvest,Harvest,Time_months,incubation_time,block
,L4121,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L4585,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L1275,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L3969,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L3904,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L0857,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0659,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0319,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0621,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0907,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0707,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L0965,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L1055,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T1077,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T1017,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L4073,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0263,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0059,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0056,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L4017,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,T0211,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,4
,L0957,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,L4119,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,T0651,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,L0101,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,L0465,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,T0911,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,L3925,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,T0801,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,L0855,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,T0357,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,T0203,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,T0717,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,3
,L0969,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,2
,L4023,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,2
,L1063,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,2
,L0829,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,2
,T0311,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,2
,L1001,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,2
,L2957,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,2
,T1117,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,1
,L4075,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,1
,L4001,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,1
,L1217,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,1
,L3867,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,1
,T0163,0,0,1,0,0,0,0,0,0,0,0,3,18 months,18,1
