"species_label","species","family","Tag","growth_form","mesh_size","diameter_class","diameter_1.size_cm","diameter_2.size_cm","diameter_3.size_cm","Bark.thickness_1._mm","Bark.thickness_2._mm","Bark.thickness_3._mm","Bark.thickness_4_mm","length_cm","Wet_weight_of_wood_block_g","Wet_weight_of_small_pieces_of_wood_g","Volume_of_wet_small_pieces.g","Dry_weight_of_small_wood_blocks_g","Dry_volume_of_small_wood_blocks.g","av_bark_thickness","density","av_wd_diameter","wd_under_bark","bark_wd_ratio","initial_mass","Carbon_wood","Carbon_bark","cellulose_wood","cellulose_bark","Nitrogen_wood","Nitrogen_bark","hemicellulose_wood","hemicellulose_bark","Tannins_wood","Tannins_bark","ADL_wood","ADL_bark","Calcium_wood","Calcium_bark","Potassium_wood","Potassium_bark","magesium_wood","magesium_bark","Manganese_wood","Manganese_bark","Phosphorous_wood","Phosphorous_bark","sugars_wood","sugars_bark","Silicon_wood","Silicon_bark","mean_density","density_class","block","Harvest","Time_months","incubation_time","log_fresh_weight","wood_weight","disck_fresh_weight","disk_fresh_volume","disck_dry_weight","disck_dry_volume","Bark_fresh_mass_at_harvest","Bark_fresh_volume_at_harvest","Dry_bark_mass_at_harvest","Dry_bark_volume_at_harvest","bark_mass_fresh","f_wood_mass","f_bark_mass","final_mass","per_ml"
"F58","Cunninghamia lanceolata",NA,"T0561","Trees","Invertebrates access","5.0 cm",3.2,3.2,3.1,0.97,0.48,0.99,0.66,19.5,150.78,14.18,15.84,8.14,13.79,0.775,0.590282813633068,3.16666666666667,3.08916666666667,0.501753439438899,86.5549506346968,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","3","18 months","18",94.92,0.01,10.955,15.81,9.04,13.54,0.1,0,0.1,0,95.02,0.0082519397535372,95.02,78.3274121405751,9.50556661842007
"F58","Cunninghamia lanceolata",NA,"T0573","Trees","Invertebrates access","5.0 cm",3.3,3.3,3.5,1.09,1.24,0.89,1.08,20,161.74,17.4,20.15,10.09,17.52,1.075,0.575913242009132,3.36666666666667,3.25916666666667,0.659677831756584,93.7906091954023,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","4","24 months","24",56.29,56.3,7.205,8.615,6.1995,8.42,0.1,0,0.1,0,0.1,48.4430048577377,0.1,48.4344004163775,48.3590086130373
"F58","Cunninghamia lanceolata",NA,"T0577","Trees","Invertebrates access","5.0 cm",3.6,3.8,3.7,2.64,1.71,2.37,2.19,20.5,205.59,22.8,25.52,12.06,21.43,2.2275,0.562762482501167,3.76666666666667,3.54391666666667,1.25708373503892,108.746289473684,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","1","1","6 months","6",111.64,0.01,12.405,18.175,10.28,17.055,0.1,0,0.1,0,111.74,0.0082869810560258,111.74,92.515856509472,14.9250452983408
"F58","Cunninghamia lanceolata",NA,"T0565","Trees","Invertebrates access","5.0 cm",3.6,3.7,3.8,1.8,1.86,1.36,1.15,20.5,207.58,21.16,23.9,12.04,20.9,1.5425,0.576076555023923,3.73333333333333,3.57908333333333,0.861952548371324,118.112627599244,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","1","4","24 months","24",24.98,24.99,3.805,4.63,3.0115,4.55,0.1,0,0.1,0,0.1,19.7785505913272,0.1,19.7706360052562,83.2612004261407
"F58","Cunninghamia lanceolata",NA,"T0571","Trees","Invertebrates access","5.0 cm",2.9,3.1,3,1.31,6.04,0.78,0.84,19.5,135.11,13.36,15.82,8.49,14.21,2.2425,0.597466572836031,3.06666666666667,2.84241666666667,1.57788267026298,85.8595733532934,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","2","12 months","12",92.07,0.01,13.915,18.99,11.835,18.34,0.1,0,0.1,0,92.17,0.00850521020481495,92.17,78.3074703557312,8.79587762041042
"F58","Cunninghamia lanceolata",NA,"T0567","Trees","Invertebrates access","5.0 cm",2.7,2.9,3.1,1.38,1.14,1.31,1.12,20.5,127.85,16.38,19.38,9.31,16.83,1.2375,0.553178847296494,2.96666666666667,2.84291666666667,0.870584786750696,72.6668803418803,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","3","18 months","18",94.75,0.01,10.425,13.31,7.23,12.725,0.1,0,0.1,0,94.85,0.00693525179856115,94.85,65.7115107913669,9.57158132809622
"F58","Cunninghamia lanceolata",NA,"T0581","Trees","Invertebrates access","5.0 cm",3.3,3.3,3.3,1.34,1.56,1.37,1.15,19.5,144.21,15.79,19.19,9.91,16.98,1.355,0.583627797408716,3.3,3.1645,0.856375414757466,90.5079860671311,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","2","12 months","12",90.95,0.01,10.285,13.085,8.615,12.11,0.1,0,0.1,0,91.05,0.00837627613028682,91.05,76.1822314049587,15.828166424504
"F58","Cunninghamia lanceolata",NA,"T0555","Trees","Invertebrates access","5.0 cm",2.9,2.9,3,0.94,0.53,1.21,1.29,20.5,124.88,13.1,16.08,7.75,14.32,0.9925,0.541201117318436,2.93333333333333,2.83408333333333,0.700402834543797,73.8793893129771,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","1","6 months","6",81.01,0.01,8.96,14.185,7.715,13.53,0.1,0,0.1,0,81.11,0.00861049107142857,81.11,69.7535881696429,5.58450899730099
"F58","Cunninghamia lanceolata",NA,"T0553","Trees","Invertebrates access","5.0 cm",2.9,3,3,0.9,1.58,1.39,1.05,19.5,116.66,13.88,17.26,8.75,15.52,1.23,0.563788659793814,3,2.877,0.855057351407716,73.5428674351585,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","4","3","18 months","18",35.2,0.01,3,3.51,2.46,3.935,0.1,0,0.1,0,35.3,0.0082,35.3,28.864,60.752142244863
"F58","Cunninghamia lanceolata",NA,"T0559","Trees","Invertebrates access","5.0 cm",2.9,2.9,2.5,1.15,1.93,1.26,1.11,20,116.46,12.55,15.19,7.45,13.57,1.3625,0.54900515843773,2.76666666666667,2.63041666666667,1.035957547917,69.133625498008,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","1","6 months","6",73.04,0.01,6.835,10.64,5.725,9.67,0.1,0,0.1,0,73.14,0.00837600585223116,73.14,61.1783467446964,11.5071048220099
