"","species_label","species","family","Tag","growth_form","mesh_size","diameter_class","diameter_1.size_cm","diameter_2.size_cm","diameter_3.size_cm","Bark.thickness_1._mm","Bark.thickness_2._mm","Bark.thickness_3._mm","Bark.thickness_4_mm","length_cm","Wet_weight_of_wood_block_g","Wet_weight_of_small_pieces_of_wood_g","Volume_of_wet_small_pieces.g","Dry_weight_of_small_wood_blocks_g","Dry_volume_of_small_wood_blocks.g","av_bark_thickness","density","av_wd_diameter","wd_under_bark","bark_wd_ratio","initial_mass","Carbon_wood","Carbon_bark","cellulose_wood","cellulose_bark","Nitrogen_wood","Nitrogen_bark","hemicellulose_wood","hemicellulose_bark","Tannins_wood","Tannins_bark","ADL_wood","ADL_bark","Calcium_wood","Calcium_bark","Potassium_wood","Potassium_bark","magesium_wood","magesium_bark","Manganese_wood","Manganese_bark","Phosphorous_wood","Phosphorous_bark","sugars_wood","sugars_bark","Silicon_wood","Silicon_bark","mean_density","density_class","block","Harvest","Time_months","incubation_time","log_fresh_weight","wood_weight","disck_fresh_weight","disk_fresh_volume","disck_dry_weight","disck_dry_volume","Bark_fresh_mass_at_harvest","Bark_fresh_volume_at_harvest","Dry_bark_mass_at_harvest","Dry_bark_volume_at_harvest","bark_mass_fresh","f_wood_mass","f_bark_mass","final_mass","per_ml","W_D_prop"
"2","F58","Cunninghamia lanceolata",NA,"T0573","Trees","Invertebrates access","5.0 cm",3.3,3.3,3.5,1.09,1.24,0.89,1.08,20,161.74,17.4,20.15,10.09,17.52,1.075,0.575913242009132,3.36666666666667,3.25916666666667,0.659677831756584,93.7906091954023,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","4","24 months","24",56.29,56.3,7.205,8.615,6.1995,8.42,0.1,0,0.1,0,0.1,48.4430048577377,0.1,48.4344004163775,48.3590086130373,0.089793571847383
"4","F58","Cunninghamia lanceolata",NA,"T0565","Trees","Invertebrates access","5.0 cm",3.6,3.7,3.8,1.8,1.86,1.36,1.15,20.5,207.58,21.16,23.9,12.04,20.9,1.5425,0.576076555023923,3.73333333333333,3.57908333333333,0.861952548371324,118.112627599244,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","1","4","24 months","24",24.98,24.99,3.805,4.63,3.0115,4.55,0.1,0,0.1,0,0.1,19.7785505913272,0.1,19.7706360052562,83.2612004261407,0.0894944017786427
"12","F58","Cunninghamia lanceolata",NA,"T0579","Trees","Invertebrates access","5.0 cm",4.3,4.3,4,1.29,1.74,2.01,1.69,20.5,261.74,27.02,30.69,15.39,25.96,1.6825,0.592835130970724,4.2,4.03175,0.834625162770509,149.081369356033,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","4","4","24 months","24",103.61,103.62,6.315,7.43,4.575,7.245,0.1,0,0.1,0,0.1,75.0691211401425,0.1,75.0618764845606,49.6503977600987,0.0898667894355479
"15","F58","Cunninghamia lanceolata",NA,"T0575","Trees","Invertebrates access","5.0 cm",3.5,3.4,3,1.47,0.94,1.93,1.18,19.5,189.77,20.22,22.9,11.39,19.93,1.38,0.571500250878073,3.26666666666667,3.12866666666667,0.882164926486256,106.898135509397,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","4","24 months","24",118.97,118.98,8.57,10.02,6.1,9.795,0.1,0,0.1,0,0.1,84.6882147024504,0.1,84.6810968494749,20.7833733994068,0.0898819198157012
"19","F58","Cunninghamia lanceolata",NA,"T0517","Trees","Invertebrates access","2.5 cm",2.9,2.6,2.6,1.06,1.36,1.29,1.22,19.5,109.53,12.53,14.27,7.08,12.56,1.2325,0.563694267515924,2.6,2.47675,0.995255879681034,61.8892577813248,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","1","4","24 months","24",38.87,38.88,6.365,7.33,4.9145,7.055,0.1,0,0.1,0,0.1,30.019758051846,0.1,30.0120369206599,51.5068721187411,0.0896668860560858
"20","F58","Cunninghamia lanceolata",NA,"T0515","Trees","Invertebrates access","2.5 cm",2.4,2.5,2.5,1.21,1.29,1.12,1.05,19,91.27,14.89,18.08,9.61,16.83,1.1675,0.571004159239453,2.5,2.38325,0.979754536871919,58.9056212222968,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","4","24 months","24",44.38,44.39,3.91,5.095,3.535,5.105,0.1,0,0.1,0,0.1,40.1326470588235,0.1,40.1236061381074,31.8849282877609,0.0897508263039479
"29","F58","Cunninghamia lanceolata",NA,"T0518","Trees","Invertebrates blocked","2.5 cm",2,2.2,2.1,1.52,0.52,1.29,1.26,20,56.32,5.15,8.43,3.63,7.54,1.1475,0.481432360742706,2.16666666666667,2.05191666666667,1.11846647443447,39.6973980582524,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","1","4","24 months","24",46.74,37.75,4.475,5.365,2.605,4.95,1.93,0,1.48,0,9.1,21.9751396648045,6.97823834196891,27.2084245810056,31.4604333989859,6.96778328228999
"30","F58","Cunninghamia lanceolata",NA,"T0526","Trees","Invertebrates blocked","2.5 cm",2.6,2.6,2.5,0.96,0.99,0.94,0.91,20.5,93.89,20.81,23.13,12.46,19.92,0.95,0.625502008032129,2.56666666666667,2.47166666666667,0.768712070128119,56.2166938971648,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","2","4","24 months","24",64.54,57.09,5.13,7.2,4.1,6.44,2.26,5.555,1.575,5,7.56000000000001,45.627485380117,5.26858407079647,51.5816764132554,8.24491296551187,5.25836490465315
"35","F58","Cunninghamia lanceolata",NA,"T0514","Trees","Invertebrates blocked","2.5 cm",3.5,3,2.8,1.95,0.99,1.86,1.56,21,125.33,11.21,13.62,6.37,11.52,1.59,0.552951388888889,2.93333333333333,2.77433333333333,1.14622131442989,71.2178501338091,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","4","24 months","24",100.61,86.76,10.4,12.855,7.575,10.63,3.975,0,3.215,0,13.96,63.1929807692308,11.2909182389937,73.2808413461538,-2.89673334489691,11.2807599935703
"41","F58","Cunninghamia lanceolata",NA,"T0578","Trees","Invertebrates blocked","5.0 cm",3.9,3.8,3.9,1.35,1.37,1.27,0.83,20,211.17,27.13,30.91,15.83,27.06,1.205,0.5849963045085,3.83333333333333,3.71283333333333,0.649099968577457,123.214931809805,50.475,49.8,43.3975,41.68,0.02845,0.0643,11.6775,9.10000000000001,0.4875,1.02,35.6825,30.51,5.1,12.84,1.865,3.56,0.34,0.79,401.3,681.3,0.29,0.66,0.4475,0.99,0.175,2.1,0.561163166942853," medium","3","4","24 months","24",165.54,147.4,17.79,20.22,10.8,18.73,6.395,0,2.735,0,18.25,89.4839797639123,7.80512118842846,100.496458684654,18.4380844037789,7.79500943658164
